,Order ID,x_kg,y_kg,x_zone,y_zone,ship,x_value,Y_values
87,2001811604,0.5,1.0,e,b,Forward charges,56.6,61.3
88,2001819252,0.5,0.5,e,b,Forward charges,56.6,33.0
89,2001827036,2.0,2.0,e,b,Forward charges,223.1,117.9
90,2001806304,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
91,2001806768,0.5,1.5,b,d,Forward charges,33.0,135.0
92,2001806823,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
93,2001806828,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
94,2001806968,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
95,2001807328,0.5,2.5,b,d,Forward charges,33.0,224.6
96,2001807785,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
97,2001807852,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
98,2001807970,1.0,4.5,b,d,Forward charges,61.3,403.79999999999995
99,2001807329,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
100,2001807613,1.0,1.5,b,d,Forward charges,61.3,135.0
101,2001808475,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
102,2001808585,0.5,1.0,e,b,Forward charges,56.6,61.3
103,2001808679,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
104,2001808739,0.5,2.0,b,d,Forward charges,33.0,179.79999999999998
105,2001808832,1.0,2.5,b,d,Forward charges,61.3,224.6
106,2001808837,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
107,2001808883,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
108,2001808992,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
109,2001809270,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
110,2001809934,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
111,2001810125,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
112,2001810281,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
113,2001810549,1.0,2.0,b,d,Forward charges,61.3,179.79999999999998
114,2001810697,1.0,2.5,b,d,Forward charges,61.3,224.6
115,2001811039,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
116,2001811058,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
117,2001811306,1.0,1.5,b,d,Forward charges,61.3,135.0
118,2001812195,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
119,2001812941,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
120,2001809383,1.0,0.5,b,d,Forward and RTO charges,110.1,107.30000000000001
121,2001820978,1.0,0.5,b,d,Forward charges,61.3,45.4
122,2001811475,1.0,0.5,e,b,Forward charges,112.1,33.0
123,2001811305,1.0,0.5,b,d,Forward charges,61.3,45.4
